Timestamp_s,Temp_C,Humidity_pct,Moisture_pct,Solar_pct,Bat_V,PV_V,Fan,Vent_deg,State
0,29.5,62.0,22.4,45,12.42,15.2,1,30,DRYING
30,31.2,59.4,22.1,60,12.50,16.8,1,45,DRYING
60,32.8,56.1,21.8,72,12.55,17.4,1,45,DRYING
90,34.1,53.2,21.3,78,12.60,17.9,1,45,DRYING
120,35.4,50.8,20.9,82,12.64,18.1,1,60,DRYING
150,36.2,48.5,20.4,85,12.66,18.3,1,60,DRYING
180,36.9,46.7,19.9,88,12.68,18.4,1,60,DRYING
210,37.5,45.2,19.4,90,12.70,18.6,1,75,DRYING
240,38.1,44.0,18.9,91,12.71,18.7,1,75,DRYING
270,38.6,43.1,18.4,92,12.72,18.8,1,75,DRYING
300,39.0,42.5,17.9,93,12.72,18.9,1,75,DRYING
330,39.4,41.8,17.4,92,12.71,18.8,1,75,DRYING
360,39.8,41.2,16.9,91,12.70,18.7,1,60,DRYING
390,40.1,40.6,16.4,90,12.69,18.6,1,60,DRYING
420,40.5,40.1,15.9,88,12.68,18.4,1,60,DRYING
450,40.9,39.5,15.4,86,12.67,18.3,1,60,DRYING
480,41.2,39.0,14.9,84,12.65,18.2,1,60,DRYING
510,41.5,38.6,14.4,82,12.64,18.1,1,60,DRYING
540,41.8,38.2,13.9,80,12.63,18.0,1,60,DRYING
570,42.1,37.8,13.5,78,12.61,17.8,1,90,VENTILATING
600,41.4,38.5,13.2,76,12.60,17.7,1,75,DRYING
630,40.8,39.1,13.0,75,12.58,17.6,0,10,COMPLETED
